iter	Passed	Remaining
400	24226	217433
401	24287	217378
402	24347	217317
403	24382	217026
404	24443	216973
405	24506	216933
406	24567	216881
407	24628	216826
408	24641	216347
409	24703	216306
410	24766	216269
411	24828	216222
412	24887	216151
413	24947	216092
414	25008	216036
415	25068	215972
416	25130	215933
417	25193	215895
418	25257	215860
419	25316	215791
420	25377	215735
421	25439	215695
422	25501	215649
423	25565	215619
424	25628	215585
425	25690	215536
426	25725	215260
427	25784	215195
428	25848	215159
429	25910	215120
430	25974	215091
431	25982	214592
432	25989	214096
433	26052	214065
434	26113	214011
435	26176	213971
436	26235	213908
437	26295	213847
438	26357	213802
439	26416	213736
440	26478	213686
441	26541	213649
442	26600	213588
443	26663	213544
444	26724	213493
445	26785	213445
446	26845	213384
447	26906	213330
448	26968	213286
449	27029	213235
450	27089	213175
451	27153	213141
452	27213	213081
453	27272	213016
454	27332	212950
455	27394	212908
456	27456	212861
457	27518	212818
458	27577	212749
459	27611	212490
460	27673	212440
461	27733	212381
462	27792	212316
463	27854	212273
464	27918	212241
465	27982	212210
466	28042	212153
467	28102	212088
468	28164	212044
469	28223	211978
470	28285	211928
471	28349	211897
472	28407	211828
473	28470	211783
474	28530	211729
475	28550	211371
476	28610	211309
477	28669	211243
478	28731	211196
479	28795	211169
480	28858	211125
481	28917	211063
482	28981	211028
483	29041	210973
484	29103	210928
485	29164	210873
486	29226	210829
487	29286	210763
488	29346	210709
489	29407	210652
490	29467	210591
491	29526	210528
492	29589	210489
493	29650	210432
494	29670	210090
495	29730	210028
496	29790	209972
497	29851	209922
498	29910	209853
499	29972	209806
500	29993	209473
501	30054	209420
502	30116	209375
503	30131	209005
504	30196	208980
505	30260	208952
506	30323	208918
507	30386	208876
508	30420	208637
509	30481	208591
510	30540	208527
511	30601	208471
512	30660	208409
513	30722	208365
514	30783	208312
515	30845	208268
516	30906	208214
517	30966	208158
518	31031	208133
519	31043	207750
520	31107	207723
521	31171	207688
522	31232	207636
523	31295	207602
524	31357	207559
525	31418	207506
526	31480	207462
527	31540	207404
528	31604	207368
529	31664	207313
530	31724	207257
531	31788	207221
532	31848	207164
533	31910	207119
534	31970	207062
535	32029	206999
536	32089	206940
537	32104	206587
538	32164	206533
539	32225	206481
540	32289	206448
541	32349	206391
542	32410	206339
543	32475	206313
544	32534	206253
545	32599	206223
546	32660	206172
547	32724	206140
548	32783	206078
549	32844	206025
550	32904	205968
551	32965	205912
552	33026	205863
553	33088	205816
554	33152	205786
555	33185	205559
556	33245	205501
557	33306	205447
558	33370	205418
559	33431	205363
560	33494	205327
561	33554	205269
562	33618	205236
563	33682	205203
564	33743	205150
565	33803	205088
566	33866	205047
567	33926	204991
568	33989	204955
569	34049	204894
570	34110	204840
571	34172	204793
572	34232	204736
573	34293	204686
574	34355	204640
575	34416	204585
576	34476	204527
577	34539	204490
578	34602	204449
579	34665	204406
580	34726	204356
581	34788	204305
582	34851	204266
583	34912	204215
584	34977	204183
585	35039	204138
586	35053	203812
587	35115	203764
588	35180	203734
589	35241	203686
590	35306	203653
591	35369	203614
592	35434	203586
593	35499	203554
594	35564	203524
595	35629	203495
596	35692	203454
597	35757	203423
598	35822	203391
599	35887	203362
600	35958	203366
601	36020	203318
602	36084	203284
603	36151	203261
604	36214	203222
605	36281	203199
606	36349	203187
607	36414	203154
608	36483	203142
609	36548	203115
610	36610	203063
611	36669	203002
612	36734	202966
613	36798	202930
614	36860	202880
615	36922	202835
616	36987	202799
617	37046	202736
618	37110	202699
619	37176	202673
620	37238	202625
621	37300	202571
622	37361	202521
623	37426	202486
624	37501	202509
625	37573	202510
626	37641	202493
627	37709	202478
628	37724	202177
629	37789	202144
630	37855	202116
631	37927	202120
632	37941	201814
633	38009	201795
634	38076	201776
635	38146	201766
636	38221	201787
637	38288	201766
638	38353	201730
639	38419	201704
640	38484	201666
641	38547	201623
642	38610	201581
643	38674	201541
644	38734	201481
645	38796	201430
646	38859	201383
647	38919	201322
648	38980	201268
649	39041	201216
650	39102	201159
651	39165	201111
652	39226	201058
653	39288	201009
654	39351	200960
655	39412	200909
656	39479	200883
657	39544	200848
658	39605	200792
659	39667	200740
660	39729	200689
661	39790	200637
662	39851	200579
663	39912	200522
664	39974	200473
665	40036	200422
666	40096	200364
667	40158	200311
668	40219	200255
669	40281	200206
670	40343	200155
671	40404	200100
672	40469	200063
673	40531	200009
674	40594	199967
675	40656	199913
676	40720	199873
677	40781	199815
678	40842	199760
679	40903	199705
680	40965	199653
681	41027	199604
682	41089	199553
683	41152	199505
684	41213	199449
685	41276	199402
686	41341	199367
687	41405	199323
688	41468	199276
689	41531	199232
690	41594	199183
691	41656	199132
692	41718	199078
693	41779	199023
694	41840	198965
