iter	MultiClass
0	2.265942772
1	2.225343379
2	2.198415061
3	2.161811089
4	2.119899875
5	2.088706676
6	2.055377054
7	2.031104138
8	2.000980933
9	1.973568256
10	1.949065601
11	1.922687624
12	1.896971432
13	1.872615031
14	1.85002777
15	1.823495559
16	1.806704323
17	1.786119626
18	1.762538952
19	1.744880265
20	1.726196681
21	1.708256809
22	1.690930184
23	1.671714497
24	1.654696109
25	1.638855322
26	1.626110962
27	1.612061133
28	1.596280024
29	1.581434092
30	1.568604142
31	1.553686691
32	1.54081905
33	1.529264792
34	1.514307689
35	1.503376764
36	1.491756324
37	1.482798682
38	1.475802216
39	1.465171576
40	1.457417768
41	1.442843106
42	1.435017392
43	1.42866496
44	1.419246407
45	1.406540199
46	1.393868513
47	1.38202675
48	1.372026848
49	1.360603977
50	1.349961439
51	1.339100319
52	1.331385157
53	1.325506636
54	1.316350333
55	1.311276093
56	1.305075286
57	1.297854041
58	1.289859293
59	1.279984419
60	1.2737039
61	1.265751649
62	1.258391463
63	1.24778568
64	1.243067474
65	1.23882494
66	1.232174836
67	1.225117249
68	1.217467677
69	1.209617441
70	1.20355732
71	1.198814472
72	1.193292663
73	1.188115331
74	1.182375633
75	1.176928593
76	1.170646143
77	1.166149328
78	1.160746831
79	1.15419509
80	1.151470795
81	1.144978907
82	1.139921001
83	1.134688493
84	1.126860611
85	1.123045666
86	1.118038843
87	1.113007087
88	1.108877436
89	1.105527137
90	1.10132053
91	1.092234658
92	1.087184554
93	1.083531741
94	1.080646949
95	1.076482855
96	1.073276451
97	1.068771372
98	1.064016104
99	1.059726923
100	1.052885106
101	1.048232327
102	1.043958973
103	1.037613027
104	1.032364342
105	1.028203457
106	1.027313805
107	1.024337609
108	1.022146002
109	1.01847148
110	1.014451496
111	1.008883314
112	1.005577426
113	1.000578283
114	0.9972626802
115	0.9947534424
116	0.9899386314
117	0.9858682771
118	0.9835335797
119	0.9777474755
120	0.972589439
121	0.9691555209
122	0.9649017117
123	0.9620139595
124	0.9575986976
125	0.9540152381
126	0.9507067512
127	0.9469979137
128	0.9446436536
129	0.9428160778
130	0.940985281
131	0.9371239768
132	0.933549081
133	0.9274214797
134	0.9260415508
135	0.9236120917
136	0.92048242
137	0.9156871369
138	0.9122840477
139	0.9085505043
140	0.9042231901
141	0.9003304528
142	0.8982084678
143	0.8960403797
144	0.8925869407
145	0.8889417152
146	0.8857877849
147	0.8827874478
148	0.8800286172
149	0.8770832019
150	0.8733608325
151	0.870079763
152	0.867450692
153	0.8632643995
154	0.8601075593
155	0.8583907225
156	0.8571474111
157	0.8558928773
158	0.8519942626
159	0.8503145655
160	0.8491113613
161	0.8467028846
162	0.845777826
163	0.8436719387
164	0.8412445496
165	0.838487166
166	0.8367069261
167	0.8343125779
168	0.8327809565
169	0.8314411153
170	0.8286970185
171	0.8277512604
172	0.8264738182
173	0.8245803756
174	0.8235194715
175	0.822838721
176	0.8206978187
177	0.8193808246
178	0.8168454389
179	0.8149010201
180	0.8136105246
181	0.8125747605
182	0.8090150143
183	0.807351212
184	0.8052361616
185	0.8024438539
186	0.8013487367
187	0.7995712913
188	0.7985201506
189	0.7961348056
190	0.792219098
191	0.7897640932
192	0.7892838181
193	0.7884681
194	0.7865670378
195	0.7830654192
196	0.7801442583
197	0.7780048498
198	0.7761463575
199	0.7736133857
200	0.7713769208
201	0.7689332994
202	0.7658941903
203	0.7643344037
204	0.7625459092
205	0.7611971344
206	0.7583158861
207	0.7559290736
208	0.7528461087
209	0.7512803026
210	0.7491575034
211	0.7486011222
212	0.746769233
213	0.744514081
214	0.7430785034
215	0.74218443
216	0.7409090829
217	0.738711488
218	0.7374344399
219	0.7364060747
220	0.735253193
221	0.7338394458
222	0.7320452707
223	0.7298954879
224	0.7285931096
225	0.726260586
226	0.7235958945
227	0.7232227879
228	0.7210064356
229	0.7194016662
230	0.7184329675
231	0.7172999753
232	0.7162494479
233	0.7145352376
234	0.7127654896
235	0.7096496151
236	0.7076898307
237	0.7066119732
238	0.7057835256
239	0.7049182203
240	0.7024921168
241	0.7007396457
242	0.6991091976
243	0.6985265287
244	0.6970132331
245	0.6962126403
246	0.695004415
247	0.6936508903
248	0.6928768468
249	0.6923262513
250	0.691123209
251	0.6901348154
252	0.6888561745
253	0.688272325
254	0.6861942455
255	0.6850059435
256	0.682806384
257	0.6808846951
258	0.6787121183
259	0.6769326812
260	0.675977541
261	0.6726328121
262	0.671896994
263	0.6708731669
264	0.6696598554
265	0.6689627948
266	0.6679272342
267	0.666571421
268	0.665422797
269	0.6647677297
270	0.6632115202
271	0.6617755986
272	0.66081777
273	0.6602473695
274	0.659873525
275	0.6577723275
276	0.6565735661
277	0.6551667875
278	0.6545527855
279	0.6526613809
280	0.6521778779
281	0.6505658764
282	0.6484492961
283	0.6475176032
284	0.6465877176
285	0.6465173672
286	0.6449736567
287	0.6445948357
288	0.6432242682
289	0.6418183951
290	0.6407509784
291	0.6396539337
292	0.63872111
293	0.6372971879
294	0.6365621991
295	0.6358145567
296	0.6343205207
297	0.6334380433
298	0.6320711701
299	0.6311901875
300	0.6304823157
301	0.629183353
302	0.6287531778
303	0.6287361275
304	0.627731198
305	0.6268666321
306	0.6253670216
307	0.6245306543
308	0.623982874
309	0.6230482692
310	0.6222669423
311	0.6214203326
312	0.6198859028
313	0.6192219226
314	0.6186986503
315	0.6177359765
316	0.6169334637
317	0.6165087592
318	0.6153059441
319	0.6146645415
320	0.613167549
321	0.6114564839
322	0.6101356503
323	0.6096082956
324	0.6088424682
325	0.60817619
326	0.6068385539
327	0.6058479003
328	0.605247498
329	0.6044928309
330	0.6038127934
331	0.6036899767
332	0.6027730166
333	0.6023098602
334	0.6016751697
335	0.6009791696
336	0.5999686172
337	0.5983009359
338	0.5975943582
339	0.595912183
340	0.5952424582
341	0.5946892459
342	0.5940832617
343	0.5927890825
344	0.5918531816
345	0.5910387547
346	0.5896858115
347	0.5882637989
348	0.5868072301
349	0.5860033929
350	0.5852013783
351	0.5840496889
352	0.5834707461
353	0.5832446624
354	0.582232234
355	0.5815703211
356	0.5810037508
357	0.580595026
358	0.5800002724
359	0.5797112476
360	0.57894037
361	0.5783045801
362	0.5776109415
363	0.5770411818
