iter	MultiClass
0	2.260817557
1	2.215695076
2	2.178667622
3	2.147842756
4	2.114635079
5	2.08328767
6	2.046604438
7	2.020981047
8	1.993677866
9	1.964235502
10	1.944011207
11	1.925262791
12	1.900385723
13	1.87887531
14	1.855157216
15	1.834637888
16	1.81249877
17	1.792116427
18	1.772313116
19	1.747915975
20	1.732018871
21	1.710176393
22	1.694295498
23	1.674345942
24	1.658447247
25	1.643877889
26	1.631888387
27	1.618354052
28	1.604015486
29	1.589883866
30	1.574593769
31	1.559886515
32	1.550877439
33	1.541862137
34	1.530740739
35	1.521981331
36	1.508279338
37	1.496155322
38	1.485398574
39	1.474064729
40	1.461987725
41	1.450457379
42	1.440052582
43	1.434121173
44	1.425886956
45	1.417934899
46	1.407730113
47	1.398677681
48	1.391177601
49	1.380832368
50	1.370585467
51	1.357225379
52	1.346667925
53	1.342141443
54	1.328948886
55	1.325363169
56	1.319027843
57	1.310670485
58	1.306518715
59	1.299313315
60	1.293444376
61	1.284703761
62	1.276212205
63	1.266428427
64	1.258523043
65	1.251415849
66	1.243269071
67	1.236527386
68	1.230106997
69	1.223648022
70	1.215383041
71	1.208140447
72	1.200223323
73	1.1941347
74	1.188949857
75	1.181122128
76	1.173213321
77	1.165488481
78	1.160084291
79	1.154238848
80	1.149832916
81	1.144487246
82	1.137449656
83	1.130540918
84	1.12552915
85	1.120269835
86	1.113907511
87	1.108691288
88	1.103831404
89	1.098489895
90	1.094559158
91	1.08963257
92	1.082503621
93	1.080410335
94	1.07668298
95	1.07025575
96	1.066767089
97	1.06246977
98	1.057848642
99	1.055458335
100	1.049525946
101	1.045953629
102	1.042614117
103	1.038489011
104	1.034848997
105	1.031874564
106	1.029401919
107	1.024274261
108	1.020363706
109	1.018079402
110	1.015940122
111	1.012464425
112	1.006540011
113	1.003944074
114	1.001555076
115	0.9996295367
116	0.9968219865
117	0.9929471208
118	0.9907376681
119	0.9881798267
120	0.984473185
121	0.9815012838
122	0.977844482
123	0.974977265
124	0.9730800511
125	0.9693384923
126	0.9665197963
127	0.9636923987
128	0.961984938
129	0.9600054072
130	0.9570327988
131	0.9521777142
132	0.9496820534
133	0.9478143742
134	0.9457378995
135	0.9426231706
136	0.9391191118
137	0.9358778935
138	0.9325445677
139	0.9270856843
140	0.9247171014
141	0.9224593352
142	0.9217724385
143	0.9197088328
144	0.9191913498
145	0.916147705
146	0.9143178384
147	0.9122275505
148	0.908486384
149	0.9052449317
150	0.9020214592
151	0.8985054617
152	0.8961942503
153	0.8909911733
154	0.8876355171
155	0.8840387362
156	0.880509708
157	0.8783732519
158	0.8760533993
159	0.8751706983
160	0.8722436578
161	0.8704150927
162	0.8682135199
163	0.8670530906
164	0.8642848009
165	0.861465074
166	0.8594883207
167	0.8569116357
168	0.8546318924
169	0.8530410818
170	0.8508145579
171	0.8490712006
172	0.8462932228
173	0.8443683398
174	0.8428885614
175	0.8418903569
176	0.8388225594
177	0.8368026722
178	0.8353946492
179	0.8334887553
180	0.8297537385
181	0.8283172275
182	0.8263417581
183	0.8251331853
184	0.8240420986
185	0.8210045086
186	0.8187448043
187	0.8167869497
188	0.814785705
189	0.8145081869
190	0.8133139591
191	0.8110105173
192	0.8098814501
193	0.806420915
194	0.8047037736
195	0.8035114811
196	0.8030748373
197	0.8020176959
198	0.7992752349
199	0.7981232512
200	0.7960014067
201	0.794629255
202	0.7910589729
203	0.7899673519
204	0.7871957086
205	0.7862115569
206	0.7844327237
207	0.7834547847
208	0.7825141681
209	0.7819203253
210	0.780378414
211	0.7795891494
212	0.7779244432
213	0.7741585578
214	0.7720446849
215	0.7714296062
216	0.7702046674
217	0.7683678129
218	0.7660832902
219	0.7634817173
220	0.7615019038
221	0.7603164245
222	0.7583092543
223	0.7572449994
224	0.7556759279
225	0.7540358396
226	0.7525459615
227	0.7500415972
228	0.7492287809
229	0.7482879629
230	0.7469947546
231	0.7455313916
232	0.7438331242
233	0.7429045687
234	0.7406094566
235	0.7385827735
236	0.737498694
237	0.7367612716
238	0.7355237974
239	0.733861687
240	0.7325219977
241	0.7320381555
242	0.7305415699
243	0.7289461041
244	0.7279061803
245	0.726670311
246	0.7261082689
247	0.7250057838
248	0.7236987846
249	0.7224052645
250	0.7214562535
251	0.7206446034
252	0.7199541479
253	0.7186894301
254	0.7186345513
255	0.7182862558
256	0.7173617966
257	0.7162722857
258	0.715476811
259	0.7141397436
260	0.7134635441
261	0.711342632
262	0.7099174515
263	0.7094114089
264	0.7078778277
265	0.7056883067
266	0.7048054159
267	0.7039251855
268	0.7022535002
269	0.701579493
270	0.7006099536
271	0.6994096622
272	0.6979513116
273	0.6965473294
274	0.6960873327
275	0.6947848603
276	0.6939851921
277	0.6926028525
278	0.6916051381
279	0.6902193389
280	0.6891417069
281	0.6880654578
282	0.6863656916
283	0.6852032839
284	0.6843067023
285	0.6835812965
286	0.6828411308
287	0.681658341
288	0.6810961793
289	0.6802333417
290	0.67975908
291	0.6788302522
292	0.6779967367
293	0.6774534254
294	0.6765039203
295	0.6750303143
296	0.674229494
297	0.6728241536
298	0.6725563797
299	0.6721578864
300	0.6712506053
301	0.6702854659
302	0.6691516182
303	0.6684565043
304	0.6675447462
305	0.6669645218
306	0.6668617963
307	0.666247108
308	0.6658702763
309	0.6656206663
310	0.6650779428
311	0.6637812161
312	0.662388552
313	0.6611186359
314	0.6607832087
315	0.6598585736
316	0.6583741247
317	0.6573836214
318	0.6571615053
319	0.6558447801
320	0.6553506048
321	0.6536240032
322	0.6531806573
323	0.6524319428
324	0.6515010618
325	0.649718782
326	0.6494946946
327	0.6484275334
328	0.6471555662
329	0.646769608
330	0.6459835637
331	0.6454448082
332	0.6450902197
333	0.6439849762
334	0.6436516785
335	0.6428120061
336	0.6413939566
337	0.640448002
338	0.6395855064
339	0.6387745332
340	0.6380308787
341	0.6368289297
342	0.6362721668
343	0.6359864956
344	0.6358131982
345	0.6353981981
346	0.6345604522
347	0.6330414566
348	0.6322889578
349	0.631976608
350	0.6312631135
351	0.6311847001
352	0.6300716904
353	0.629689109
354	0.6294907882
355	0.6286313405
356	0.6278327397
357	0.6273297234
358	0.6266954991
359	0.6263980909
360	0.6257111209
361	0.6249426907
362	0.6240053904
363	0.6234921914
364	0.6229151212
365	0.6220839764
366	0.621425517
367	0.6212230065
368	0.6208273894
369	0.6207356292
370	0.6202030459
371	0.6195410853
372	0.6188691178
373	0.618062602
374	0.6177847414
375	0.6170981193
376	0.6168604623
377	0.6163821611
378	0.6158908488
379	0.6153040581
380	0.6147862078
381	0.6137102095
382	0.6122948073
383	0.6111367601
384	0.6106801488
385	0.6100969589
386	0.6098127357
387	0.6092333024
388	0.6082835213
389	0.6077371259
390	0.6071268022
391	0.6063468867
392	0.6060937182
393	0.6057757028
394	0.6050460183
395	0.6044289419
396	0.6042006205
397	0.6037614776
398	0.6030867805
399	0.6026021514
400	0.6021955857
401	0.6013584894
402	0.6004679432
403	0.6001109054
404	0.5988539226
405	0.597411732
406	0.5967696993
407	0.596514415
408	0.5964234294
409	0.5953222511
410	0.5945188142
411	0.5938529451
412	0.5936104613
413	0.5927691679
414	0.5916887564
415	0.5909836063
416	0.5902486598
417	0.5896944431
418	0.5891237714
419	0.5884947874
420	0.5882480126
421	0.5879285158
422	0.5876897334
423	0.5874415553
424	0.5870433439
425	0.586205729
426	0.5859855995
427	0.5856731598
428	0.5851257147
429	0.5847764376
430	0.5843303027
431	0.584324735
432	0.5843192968
433	0.5842371673
434	0.5838470475
435	0.5836179455
436	0.5832563664
437	0.5827259517
438	0.5816291879
439	0.581444867
440	0.5807446029
441	0.5800679675
442	0.5796158875
443	0.5792420774
444	0.5785292142
445	0.5783601078
446	0.5778110716
447	0.577570929
448	0.5766595664
449	0.5763912925
450	0.5755897474
451	0.5750627889
452	0.5744669844
453	0.5740313432
454	0.5731084194
455	0.5723007554
456	0.571881164
457	0.571121539
458	0.5709216613
459	0.5707886786
460	0.5701177759
461	0.5695639062
462	0.5692290377
463	0.568613391
464	0.567780312
465	0.567028607
466	0.5664790703
467	0.5655601894
468	0.5650498038
469	0.56493288
470	0.564074928
471	0.5633327713
472	0.5630353681
473	0.5622353671
474	0.5615105786
475	0.5614460649
476	0.5608075594
477	0.56047715
478	0.5601636294
479	0.5594574689
480	0.5587968627
481	0.5580230196
482	0.5577549717
483	0.5568860898
484	0.5558630927
485	0.5556041012
486	0.5548251768
487	0.5540910244
488	0.5536197068
489	0.5534065103
490	0.5531510114
491	0.5527613509
492	0.551909245
493	0.5513859616
494	0.5513339504
495	0.5506780794
496	0.5500644033
497	0.5499345761
498	0.5492327967
499	0.5481083263
500	0.5480724678
501	0.5476099522
502	0.5473037262
503	0.5470888115
504	0.5468739634
505	0.5466159025
506	0.5464415822
507	0.5461332912
508	0.5459577363
509	0.5449139503
510	0.5444185903
511	0.5440490747
512	0.5435480714
513	0.5431889574
514	0.542733955
515	0.541940598
516	0.5416642386
517	0.5412779079
518	0.5408842807
519	0.5408727968
520	0.5405534303
521	0.5400280144
522	0.5393040592
523	0.5386608307
524	0.5383139963
525	0.5380386767
526	0.5378451826
527	0.5377236688
528	0.5376427452
529	0.5373075237
530	0.5368519422
531	0.5365190483
532	0.5362149246
533	0.5357991796
534	0.5352714188
535	0.5350679445
536	0.534725685
537	0.5346894441
538	0.5343216535
539	0.5341094653
540	0.5339131528
541	0.533688533
542	0.5327130716
543	0.5323124091
544	0.5322145804
545	0.5319380956
546	0.5310095589
547	0.5305920856
548	0.5299029502
549	0.5294885613
550	0.5291344667
551	0.5284383907
552	0.528240873
553	0.527965128
554	0.5273222649
555	0.5270084376
556	0.5268422873
557	0.5261311481
558	0.5255640744
559	0.5252867525
560	0.5247531499
561	0.524224277
562	0.5241081682
563	0.5235942422
564	0.5231667853
565	0.5229637789
566	0.522251387
567	0.5216651336
568	0.5210937172
569	0.5201431055
570	0.5198468676
571	0.5195322564
572	0.5192932193
573	0.5191815678
574	0.5189721009
575	0.5183979889
576	0.5182151303
577	0.5180640292
578	0.5176665255
579	0.5173469869
580	0.5167124366
581	0.5164181203
582	0.5162076143
583	0.516001751
584	0.515811539
585	0.5153985286
586	0.5153261284
587	0.5150294471
588	0.5149169275
589	0.5147356414
590	0.5143060588
591	0.5140952035
592	0.5140111784
593	0.5137029621
594	0.5131815866
595	0.5130155817
596	0.5127926524
597	0.5125799182
598	0.5123388613
599	0.5122455947
600	0.5121176914
601	0.5118107703
602	0.5115525396
603	0.5110947908
604	0.510559221
605	0.5104319357
606	0.5100279697
607	0.5096362367
608	0.5091791377
609	0.5089359007
610	0.5087692139
611	0.5082603414
612	0.5080700629
613	0.5079237367
614	0.5078253185
615	0.5069834747
616	0.5065982391
617	0.5063972862
618	0.5063390906
619	0.5061734075
620	0.5057670471
621	0.5055152053
622	0.5053726535
623	0.5049187501
624	0.5044627388
625	0.5043275755
626	0.5041374781
627	0.5036575585
628	0.503591356
629	0.5034237682
630	0.5030034607
631	0.5028211859
632	0.5027589039
633	0.5026193895
634	0.5021804448
635	0.5017571333
636	0.5011526959
637	0.5009640329
638	0.5008349856
639	0.5006927996
640	0.500568225
641	0.5004824513
642	0.5003759236
643	0.5002853327
644	0.5000151268
645	0.4999252236
646	0.4995054061
647	0.4990721211
648	0.498701183
649	0.4980141905
650	0.4978618153
651	0.4977314793
652	0.4976591938
653	0.4974548278
654	0.497042796
655	0.4969713748
656	0.4968458774
657	0.4964096319
658	0.4963524136
659	0.4959370403
660	0.4958626418
661	0.4956914149
662	0.495293154
663	0.4951080804
664	0.4946904636
665	0.4943029409
666	0.4941983196
667	0.4940773836
668	0.4931151755
669	0.4930387244
670	0.4924266233
671	0.4923247092
672	0.4922398599
673	0.4920884719
674	0.4915365902
675	0.4912046058
676	0.4908348231
677	0.4907600997
678	0.4905851617
679	0.4905095948
680	0.4904393531
681	0.49017847
682	0.4899819459
683	0.4899240437
684	0.489832413
685	0.4897333034
686	0.4894284121
687	0.4889277256
688	0.4888351618
689	0.4885597212
690	0.4884568087
691	0.4883500217
692	0.4882478994
693	0.4878453593
694	0.4877443575
695	0.4876037109
696	0.4875294602
697	0.4872844972
698	0.4869453131
699	0.4868101697
